product_id,sku_code,product_name,brand,category,packaging_type,volume_ml,alcohol_percentage,launch_date,product_status
1,SKU00001,Desperados 473ml,Tiger,Cider,Keg,343,9.87,2023-07-05,Active
2,SKU00002,Heineken 388ml,Amstel,Non-Alcoholic,Can,437,7.0,2023-03-02,Discontinued
3,SKU00003,Heineken 509ml,Heineken,Beer,Can,377,7.04,2023-12-17,Discontinued
4,SKU00004,Amstel 298ml,Tiger,Beer,Can,403,1.13,2022-11-25,Active
5,SKU00005,Heineken 689ml,Tiger,Non-Alcoholic,Bottle,689,4.71,2025-10-28,Discontinued
6,SKU00006,Tiger 439ml,Desperados,Cider,Bottle,276,0.33,2022-07-22,Discontinued
7,SKU00007,Heineken 264ml,Amstel,Beer,Keg,462,6.22,2023-10-29,Active
8,SKU00008,Heineken 645ml,Tiger,Non-Alcoholic,Bottle,312,5.94,2021-08-08,Active
9,SKU00009,Tiger 491ml,Tiger,Cider,Keg,629,3.71,2025-05-17,Discontinued
10,SKU00010,Tiger 414ml,Desperados,Cider,Keg,682,6.95,2022-10-18,Active
11,SKU00011,Heineken 547ml,Desperados,Beer,Keg,357,4.57,2023-11-12,Discontinued
12,SKU00012,Desperados 618ml,Amstel,Non-Alcoholic,Bottle,330,3.94,2021-05-20,Active
13,SKU00013,Desperados 270ml,Desperados,Beer,Bottle,318,4.03,2022-03-04,Active
14,SKU00014,Tiger 482ml,Tiger,Beer,Bottle,606,3.12,2024-08-17,Discontinued
15,SKU00015,Birra Moretti 390ml,Desperados,Cider,Can,551,7.24,2024-10-30,Active
16,SKU00016,Tiger 255ml,Heineken,Beer,Bottle,642,8.02,2022-04-04,Discontinued
17,SKU00017,Birra Moretti 552ml,Birra Moretti,Non-Alcoholic,Can,551,2.38,2024-04-12,Active
18,SKU00018,Heineken 377ml,Tiger,Beer,Can,535,1.46,2022-11-26,Discontinued
19,SKU00019,Desperados 294ml,Amstel,Non-Alcoholic,Can,524,3.32,2024-03-03,Active
20,SKU00020,Desperados 447ml,Birra Moretti,Non-Alcoholic,Keg,427,9.68,2024-02-18,Discontinued
21,SKU00021,Desperados 491ml,Birra Moretti,Non-Alcoholic,Can,253,1.69,2024-06-26,Active
22,SKU00022,Amstel 672ml,Birra Moretti,Cider,Bottle,530,5.06,2023-08-21,Active
23,SKU00023,Birra Moretti 671ml,Amstel,Cider,Keg,424,9.51,2022-08-08,Discontinued
24,SKU00024,Amstel 408ml,Desperados,Non-Alcoholic,Keg,494,8.73,2024-12-30,Discontinued
25,SKU00025,Tiger 348ml,Desperados,Non-Alcoholic,Keg,518,0.45,2024-11-02,Discontinued
26,SKU00026,Heineken 569ml,Amstel,Cider,Can,613,4.27,2023-11-12,Active
27,SKU00027,Heineken 282ml,Heineken,Cider,Keg,648,7.71,2023-03-18,Active
28,SKU00028,Amstel 625ml,Tiger,Non-Alcoholic,Keg,411,0.28,2022-05-18,Active
29,SKU00029,Birra Moretti 277ml,Desperados,Beer,Bottle,649,7.64,2022-12-13,Discontinued
30,SKU00030,Amstel 499ml,Tiger,Beer,Keg,255,0.78,2025-09-28,Discontinued
31,SKU00031,Amstel 402ml,Desperados,Beer,Can,637,6.47,2022-09-14,Discontinued
32,SKU00032,Birra Moretti 532ml,Desperados,Beer,Can,535,8.21,2023-03-30,Active
33,SKU00033,Desperados 256ml,Amstel,Beer,Keg,348,5.31,2023-05-25,Active
34,SKU00034,Amstel 502ml,Tiger,Non-Alcoholic,Keg,376,3.27,2022-01-27,Active
35,SKU00035,Amstel 552ml,Heineken,Beer,Keg,579,2.07,2023-05-20,Discontinued
36,SKU00036,Amstel 464ml,Desperados,Beer,Bottle,441,8.17,2024-03-03,Discontinued
37,SKU00037,Heineken 408ml,Tiger,Beer,Can,303,7.37,2022-08-08,Active
38,SKU00038,Desperados 464ml,Birra Moretti,Beer,Can,490,8.75,2025-05-03,Active
39,SKU00039,Birra Moretti 285ml,Amstel,Beer,Can,625,8.14,2021-12-15,Active
40,SKU00040,Birra Moretti 257ml,Desperados,Beer,Bottle,516,8.07,2024-06-27,Discontinued
41,SKU00041,Birra Moretti 392ml,Birra Moretti,Cider,Can,332,7.56,2021-05-22,Discontinued
42,SKU00042,Birra Moretti 409ml,Desperados,Cider,Bottle,337,1.99,2021-12-28,Active
43,SKU00043,Amstel 548ml,Tiger,Beer,Keg,504,9.91,2022-08-15,Active
44,SKU00044,Desperados 258ml,Desperados,Beer,Can,661,4.89,2021-11-05,Discontinued
45,SKU00045,Amstel 516ml,Birra Moretti,Beer,Can,537,5.03,2025-07-30,Discontinued
46,SKU00046,Desperados 450ml,Amstel,Beer,Bottle,381,5.51,2023-08-06,Active
47,SKU00047,Desperados 348ml,Amstel,Cider,Can,431,7.23,2021-05-27,Active
48,SKU00048,Birra Moretti 474ml,Amstel,Non-Alcoholic,Keg,545,2.34,2025-02-21,Discontinued
49,SKU00049,Tiger 526ml,Desperados,Cider,Can,554,3.87,2021-10-13,Discontinued
50,SKU00050,Desperados 535ml,Tiger,Cider,Keg,278,1.58,2022-05-08,Active
51,SKU00051,Amstel 518ml,Tiger,Cider,Can,572,6.75,2024-12-16,Active
52,SKU00052,Desperados 647ml,Amstel,Cider,Bottle,332,6.98,2021-08-05,Discontinued
53,SKU00053,Desperados 550ml,Birra Moretti,Beer,Keg,372,8.94,2025-08-30,Active
54,SKU00054,Amstel 298ml,Tiger,Non-Alcoholic,Keg,645,0.89,2025-04-27,Active
55,SKU00055,Heineken 588ml,Amstel,Non-Alcoholic,Can,670,6.17,2020-11-28,Discontinued
56,SKU00056,Tiger 453ml,Desperados,Beer,Can,470,5.91,2023-02-21,Discontinued
57,SKU00057,Tiger 509ml,Heineken,Cider,Bottle,564,0.7,2024-12-04,Discontinued
58,SKU00058,Amstel 334ml,Desperados,Beer,Bottle,532,3.61,2024-04-08,Discontinued
59,SKU00059,Tiger 405ml,Birra Moretti,Non-Alcoholic,Bottle,608,2.63,2024-06-22,Active
60,SKU00060,Desperados 403ml,Amstel,Beer,Can,679,4.39,2022-06-17,Active
61,SKU00061,Heineken 602ml,Birra Moretti,Beer,Keg,585,3.41,2025-08-07,Discontinued
62,SKU00062,Amstel 669ml,Birra Moretti,Non-Alcoholic,Can,383,1.76,2022-10-17,Discontinued
63,SKU00063,Heineken 379ml,Tiger,Cider,Bottle,418,4.99,2023-08-24,Discontinued
64,SKU00064,Tiger 637ml,Desperados,Beer,Keg,263,6.51,2021-08-21,Discontinued
65,SKU00065,Desperados 271ml,Desperados,Cider,Bottle,302,2.8,2021-02-20,Discontinued
66,SKU00066,Birra Moretti 671ml,Heineken,Non-Alcoholic,Can,367,5.54,2021-10-21,Active
67,SKU00067,Birra Moretti 551ml,Birra Moretti,Cider,Keg,259,5.67,2024-02-13,Active
68,SKU00068,Tiger 410ml,Amstel,Cider,Bottle,649,3.98,2025-10-08,Discontinued
69,SKU00069,Heineken 394ml,Heineken,Beer,Bottle,671,1.92,2025-02-18,Discontinued
70,SKU00070,Desperados 538ml,Tiger,Non-Alcoholic,Can,272,6.24,2021-11-20,Active
71,SKU00071,Birra Moretti 357ml,Desperados,Non-Alcoholic,Bottle,575,4.58,2021-01-26,Active
72,SKU00072,Birra Moretti 599ml,Tiger,Cider,Bottle,585,7.36,2022-06-02,Active
73,SKU00073,Heineken 301ml,Amstel,Cider,Can,602,0.02,2023-08-07,Active
74,SKU00074,Tiger 555ml,Birra Moretti,Cider,Keg,311,2.83,2022-03-08,Active
75,SKU00075,Amstel 609ml,Heineken,Beer,Bottle,570,1.09,2021-02-17,Active
76,SKU00076,Desperados 424ml,Tiger,Non-Alcoholic,Bottle,688,0.62,2022-09-27,Discontinued
77,SKU00077,Tiger 374ml,Tiger,Cider,Keg,476,6.83,2021-10-29,Active
78,SKU00078,Tiger 672ml,Tiger,Beer,Bottle,654,5.42,2021-06-12,Discontinued
79,SKU00079,Tiger 522ml,Heineken,Beer,Keg,558,9.51,2023-07-03,Discontinued
80,SKU00080,Amstel 593ml,Tiger,Beer,Bottle,346,3.21,2023-01-22,Active
81,SKU00081,Heineken 381ml,Birra Moretti,Non-Alcoholic,Bottle,378,6.86,2023-10-12,Discontinued
82,SKU00082,Birra Moretti 543ml,Heineken,Beer,Bottle,509,7.83,2021-06-30,Discontinued
83,SKU00083,Heineken 352ml,Desperados,Beer,Can,539,2.59,2024-08-22,Active
84,SKU00084,Heineken 632ml,Amstel,Beer,Bottle,547,5.88,2022-03-02,Active
85,SKU00085,Heineken 653ml,Heineken,Non-Alcoholic,Can,321,0.16,2024-08-03,Discontinued
86,SKU00086,Birra Moretti 353ml,Heineken,Cider,Bottle,650,7.53,2022-08-25,Discontinued
87,SKU00087,Tiger 621ml,Desperados,Non-Alcoholic,Can,625,5.3,2025-09-02,Discontinued
88,SKU00088,Tiger 413ml,Desperados,Cider,Bottle,482,9.47,2025-04-02,Discontinued
89,SKU00089,Birra Moretti 355ml,Tiger,Cider,Keg,533,9.18,2022-06-25,Discontinued
90,SKU00090,Tiger 275ml,Heineken,Beer,Keg,623,0.64,2021-06-12,Active
91,SKU00091,Tiger 544ml,Amstel,Beer,Keg,273,6.1,2023-03-12,Active
92,SKU00092,Tiger 323ml,Heineken,Cider,Bottle,527,1.98,2024-06-28,Active
93,SKU00093,Heineken 508ml,Desperados,Non-Alcoholic,Keg,659,5.43,2022-09-08,Active
94,SKU00094,Birra Moretti 509ml,Amstel,Non-Alcoholic,Can,367,3.42,2022-10-21,Discontinued
95,SKU00095,Heineken 621ml,Amstel,Cider,Bottle,509,8.1,2023-11-12,Active
96,SKU00096,Heineken 485ml,Desperados,Beer,Bottle,626,4.01,2024-09-20,Active
97,SKU00097,Heineken 625ml,Desperados,Beer,Can,640,7.65,2022-08-23,Discontinued
98,SKU00098,Birra Moretti 405ml,Tiger,Non-Alcoholic,Bottle,409,9.46,2021-07-30,Active
99,SKU00099,Birra Moretti 548ml,Amstel,Beer,Keg,442,5.01,2020-11-18,Discontinued
100,SKU00100,Amstel 450ml,Birra Moretti,Cider,Can,311,9.9,2023-10-18,Active
101,SKU00101,Tiger 397ml,Tiger,Cider,Bottle,507,4.37,2022-10-17,Active
102,SKU00102,Heineken 345ml,Amstel,Cider,Can,460,2.05,2024-06-05,Active
103,SKU00103,Tiger 311ml,Amstel,Cider,Keg,313,0.43,2022-11-30,Active
104,SKU00104,Desperados 300ml,Desperados,Non-Alcoholic,Can,333,5.77,2025-09-27,Active
105,SKU00105,Amstel 683ml,Heineken,Non-Alcoholic,Keg,378,2.87,2025-03-29,Active
106,SKU00106,Amstel 528ml,Birra Moretti,Cider,Keg,378,5.12,2024-11-09,Discontinued
107,SKU00107,Desperados 418ml,Desperados,Beer,Bottle,534,2.19,2025-08-24,Discontinued
108,SKU00108,Amstel 268ml,Tiger,Cider,Can,281,1.47,2020-12-01,Discontinued
109,SKU00109,Birra Moretti 585ml,Tiger,Non-Alcoholic,Keg,316,9.51,2024-08-16,Active
110,SKU00110,Desperados 424ml,Heineken,Cider,Keg,352,0.66,2023-08-03,Discontinued
111,SKU00111,Heineken 486ml,Desperados,Cider,Can,391,5.87,2025-10-14,Active
112,SKU00112,Birra Moretti 303ml,Desperados,Beer,Bottle,439,3.89,2024-10-25,Active
113,SKU00113,Heineken 360ml,Birra Moretti,Beer,Keg,647,1.06,2021-06-03,Discontinued
114,SKU00114,Birra Moretti 621ml,Desperados,Cider,Keg,614,1.0,2021-02-21,Discontinued
115,SKU00115,Tiger 475ml,Tiger,Beer,Can,374,4.78,2023-03-30,Discontinued
116,SKU00116,Amstel 551ml,Heineken,Non-Alcoholic,Bottle,395,8.59,2023-05-18,Discontinued
117,SKU00117,Desperados 601ml,Heineken,Cider,Can,377,1.46,2025-09-11,Discontinued
118,SKU00118,Heineken 308ml,Tiger,Non-Alcoholic,Can,280,8.96,2023-01-22,Discontinued
119,SKU00119,Birra Moretti 435ml,Desperados,Cider,Bottle,287,2.36,2024-02-02,Active
120,SKU00120,Birra Moretti 616ml,Heineken,Non-Alcoholic,Can,582,3.25,2021-01-22,Active
121,SKU00121,Amstel 549ml,Desperados,Non-Alcoholic,Can,678,5.05,2023-06-05,Discontinued
122,SKU00122,Amstel 484ml,Birra Moretti,Beer,Keg,675,3.57,2024-07-11,Discontinued
123,SKU00123,Amstel 675ml,Desperados,Beer,Bottle,517,9.98,2025-08-31,Active
124,SKU00124,Tiger 589ml,Birra Moretti,Beer,Can,510,2.78,2024-02-20,Active
125,SKU00125,Desperados 556ml,Tiger,Cider,Can,476,5.96,2023-05-25,Active
126,SKU00126,Heineken 558ml,Birra Moretti,Cider,Can,550,6.16,2023-12-20,Discontinued
127,SKU00127,Tiger 572ml,Birra Moretti,Cider,Bottle,320,1.54,2022-05-07,Discontinued
128,SKU00128,Desperados 491ml,Birra Moretti,Non-Alcoholic,Keg,558,5.96,2021-03-01,Active
129,SKU00129,Desperados 499ml,Desperados,Cider,Bottle,558,6.53,2023-06-05,Discontinued
130,SKU00130,Heineken 411ml,Amstel,Cider,Can,608,0.68,2025-11-07,Active
131,SKU00131,Tiger 463ml,Birra Moretti,Beer,Can,479,4.12,2021-06-26,Active
132,SKU00132,Birra Moretti 345ml,Desperados,Cider,Keg,398,0.98,2023-10-28,Active
133,SKU00133,Birra Moretti 285ml,Tiger,Non-Alcoholic,Keg,421,1.12,2021-02-14,Active
